"Reference","Latitude","Longitude"
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6485562462,153.068268671
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.6170307966,153.069201802
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.620043707,153.073805112
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6209047144,153.067177166
"Garden et al. 2010",-27.6224585601,153.064938169
"Garden et al. 2010",-27.6224585601,153.064938169
